,author,title,source,date,target
6075,By Brandon Mulder ,"“In the last several months, the Biden administration has released over 7,000 illegal aliens who were COVID positive just in one Texas city.” Biden's border policies are ""endangering not just the people of Texas, but people all across the country.""",Ted Cruz," September 3, 2021",false
6076,By D.L. Davis ,End of eviction moratorium means “millions of Americans” could lose their housing in the middle of a pandemic.,Mark Pocan," September 3, 2021",true
6077,By Miriam Valverde ,"“The average hospital stay for a case of COVID-19 costs about $17,064. The vaccine is free.”",Pramila Jayapal," September 2, 2021",mostly-true
6078,By Jon Greenberg ,"“If these (telecom and internet) companies comply with the Democrat order to turn over private information, they are in violation of federal law and subject to losing their ability to operate in the United States.”",Kevin McCarthy," September 2, 2021",false
6079,By Gabrielle Settles ,"Following Hurricane Ida, animals from Turtle Back Zoo in New Jersey are “fleeing the premises.”",Facebook posts," September 2, 2021",pants-fire
6080,By Duncan Slade ,"“Near Morgantown, WV, a Moderna shipment truck crashed, hazmat dispatched, airspace shut down and now apparently Emergency Response is claiming the Department of Defense took it over.”",X posts," September 2, 2021",half-true
6081,By Tom Kertscher ,“New Israeli study finds fully vaccinated people are at ‘greater risk of hospitalization’ and 13 times more likely to catch COVID-19 than those who have recovered and have natural immunity.”,The Gateway Pundit," September 1, 2021",half-true
6082,By Tom Kertscher ,U.S. veteran group rescued Afghan allies “behind Biden’s back.”,The Gateway Pundit," September 1, 2021",false
6083,By Tom Kertscher ,"The U.S. left the Taliban an “arsenal” in Afghanistan, including 358,530 assault rifles and 22,174 Humvees.",Viral image," September 1, 2021",barely-true
6084,By Kiannah Sepeda-Miller ,"Says the 1995 Chicago heat wave was “the largest single-day, non-war fatality in the United States” prior to 9/11, and “we are now expecting temperatures that hot in Chicago every summer.”",Sean Casten," September 1, 2021",barely-true
6085,By Warren Fiske ,Glenn Youngkin “called COVID relief ‘unnecessary.’”,Terry McAuliffe," September 1, 2021",barely-true
6086,By Bill McCarthy ,A video shows the “Taliban hanging someone from a helicopter.”,X posts," August 31, 2021",false
6087,By Tom Kertscher ,The COVID-19 vaccines “were released to the public after only two months of testing in healthy humans.”,Facebook posts," August 31, 2021",barely-true
6088,By Miriam Valverde ,"The Trump administration worked to free 5,000 Taliban prisoners.",Mitt Romney," August 31, 2021",true
6089,By Ciara O'Rourke ,Photos show the U.S. service members killed in a 2021 suicide bombing in Kabul.,Viral image," August 31, 2021",false
6090,By Bill McCarthy ,The mRNA COVID-19 vaccines are “really gene therapy.”,Joe Rogan," August 31, 2021",false
6091,By D.L. Davis ,"In Afghanistan, “over 100 billion dollars spent on military contracts.”",Mandela Barnes," August 31, 2021",true
6092,By Samantha Putterman ,“Friendly reminder: Cigarettes are FDA approved.”,Facebook posts," August 30, 2021",false
6093,By Madison Czopek ,"Walmart is “kidnapping kids” and selling them, and this can be proven by searching “girls shoes $5,000” on Walmart.com.",Facebook posts," August 30, 2021",pants-fire
6094,By Gabrielle Settles ,“The Biden White House had no representative” who came to honor the return of the 13 service members’ remains at Dover Air Force Base.,Instagram posts," August 30, 2021",pants-fire
6095,By Tom Kertscher ,"The contagiousness of the coronavirus delta variant is “valued between 5 and 9½,” and if the value is closer to 10, “within six weeks, the whole country will test positive for delta, regardless of vaccination.”",TikTok posts," August 30, 2021",barely-true
6096,By Ciara O'Rourke ,Says President Joe Biden fell asleep during a meeting with Israel’s prime minister.,Viral image," August 30, 2021",false
6097,By Gabrielle Settles ,Thalidomide was FDA-approved for pregnant women in the 1960s.,Facebook posts," August 30, 2021",false
6098,By Chris Nichols ,"“California voters to be able to download ballots at home for recall election, sparking security concerns.”",Larry Elder," August 27, 2021",barely-true
6099,By Bill McCarthy ,"""Norfolk naval base has been taken by NATO.""",TikTok posts," August 27, 2021",false
6100,By Andy Nguyen ,"White House, CDC, WHO and vaccine makers don’t require the COVID-19 vaccine for their workers.",Facebook posts," August 27, 2021",barely-true
6101,By Ciara O'Rourke ,Video shows “pupils in Nigeria running away from being vaccinated.”,Facebook posts," August 27, 2021",false
6102,By Tom Kertscher ,Says a U.S. Air Force-insignia plane evacuating people from Afghanistan is fake.,Facebook posts," August 27, 2021",false
6103,By Emily Tian ,“It would cost $20 billion to end homelessness in the U.S.” and “halting global warming would cost $300 billion.”,Facebook posts," August 27, 2021",barely-true
6104,By Ciara O'Rourke ,“No one has died of cancer or heart disease since the COVID-19 thing started.”,Viral image," August 27, 2021",pants-fire
6105,By Jason Asenso ,"“FDA approval means nothing when you realize the FDA also approves pesticides in our food!""",Facebook posts," August 27, 2021",barely-true
6106,By Brandon Mulder ,"""Democrats like to blame Republicans on (low vaccination rates). Well, the biggest group in most states are African Americans who have not been vaccinated. The last time I checked, over 90% of them vote for Democrats.""",Dan Patrick," August 26, 2021",false
6107,By Miriam Valverde ,There has been “no question of our credibility from our allies around the world” regarding how the U.S. is withdrawing from Afghanistan.,Joe Biden," August 26, 2021",half-true
6108,By Emily Tian ,“Washington public school forces unvaccinated teens to wear ankle monitors” as a condition of playing team sports.,Facebook posts," August 25, 2021",half-true
6109,By Samantha Putterman ,75 doctors in South Florida walked out in protest as their hospital was flooded with unvaccinated COVID-19 patients,Instagram posts," August 25, 2021",false
6110,By Gabrielle Settles ,"“It is the vaccinated, NOT the unvaccinated, spreading mutant variants.”",Facebook posts," August 25, 2021",false
6111,By Warren Fiske ,On ending Virginia's income tax.,Glenn Youngkin," August 25, 2021",half-flip
6112,By Tom Kertscher ,“80% of women who have been jabbed have lost their children in the first trimester.”,Facebook posts," August 24, 2021",false
6113,By Ciara O'Rourke ,“Pfizer CEO has not yet had vaccine.”,Instagram posts," August 24, 2021",false
6114,By Ciara O'Rourke ,"Says Donald Trump said, “Do not be distracted by all this going on in Afghanistan. Always keep one eye on Washington D.C. A magician always distracts his audience.”",Viral image," August 24, 2021",false
6115,By Louis Jacobson ,Former President Donald Trump “was blocked from getting troops out of (Afghanistan) by Liz Cheney and others.”,Warren Davidson," August 24, 2021",barely-true
6116,By Bill McCarthy ,The bomb threat near the U.S. Capitol on Aug. 19 was a false flag.,X posts," August 24, 2021",pants-fire
6117,By Amy Sherman ,Al-Qaida is “gone” from Afghanistan.,Joe Biden," August 23, 2021",false
6118,By Jason Asenso ,"""Twitter has suspended the account of Afghanistan’s elected President… and have allowed the Taliban to keep their accounts.""",Instagram posts," August 23, 2021",half-true
6119,By Tom Kertscher ,Says “31 U.S. troops” were “killed in Afghanistan yesterday.”,Facebook posts," August 23, 2021",barely-true
6120,By Louis Jacobson ,"The U.S. is “now importing 800,000 barrels of oil from Russia,” but that could have been prevented if the Keystone XL pipeline hadn’t been cancelled.",Facebook posts," August 23, 2021",half-true
6121,By Madeline Heim ,“A Milwaukee election employee even acknowledged dropping off just the margin of ballots needed for a Biden win at 3 a.m.”,Donald Trump," August 23, 2021",pants-fire
6122,By Gabrielle Settles ,Says a report of unvaccinated Florida teachers dying from COVID-19 isn’t real.,Instagram posts," August 20, 2021",false
6123,By Paul Specht ,"“North Carolina during this pandemic had among the lowest COVID-related deaths, as well as job losses per capita.”",Roy Cooper," August 20, 2021",mostly-true
6124,By Miriam Valverde ,"COVID-19 vaccinations are “a violation of the Nuremberg code.""",Facebook posts," August 20, 2021",false
6125,By Gabrielle Settles ,“The CDC actually put together a document to discuss putting high risk people into camps to ‘shield’ low risk people from them.”,Candace Owens," August 20, 2021",false
6126,By Amy Sherman ,A photo shows two COVID-19 patients lying on the floor awaiting treatment in Florida.,Viral image," August 20, 2021",true
6127,By Tom Kertscher ,“Joe Biden is on a two-week vacation. Kamala Harris has been nonexistent since Inauguration Day. Jen Psaki is taking a break from her duties as press secretary for one week.”,Instagram posts," August 20, 2021",barely-true
6128,By Tom Kertscher ,The Biden administration “gifted the Taliban with $80 billion-plus” in  military-grade weapons but now “wants your 9mm pistols.”,Viral image," August 20, 2021",false
6129,By Tom Kertscher ,Joe Biden and Kamala Harris “continuously questioned the vaccine during the campaign” but now “they support vaccine cards and forced vaccinations.”,Instagram posts," August 20, 2021",barely-true
6130,By Amy Sherman ,On whether withdrawal from Afghanistan would be chaotic,Joe Biden," August 20, 2021",full-flop
6131,By D.L. Davis ,"""We’ve got 115,000 miles of roads in this state and 90% is owned by the locals.”",Craig Thompson," August 20, 2021",true
6132,By Ciara O'Rourke ,"Says Al Jazeera tweeted, “#BreakingNews Taliban started abducting minor girls from their home. The parents who are refusing to give their daughters to Taliban are being killed by Taliban fighters.”",Viral image," August 19, 2021",false
6133,By Jon Greenberg ,"“We had already issued several thousand Special Immigrant Visas .. to the (Afghan) translators, when I came into office.”",Joe Biden," August 19, 2021",half-true
6134,By Jason Asenso ,229 Christian missionaries were sentenced to death in Afghanistan.,Facebook posts," August 19, 2021",false
6135,By Tom Kertscher ,“The second-largest investor in Regeneron” is a firm whose CEO is Ron DeSantis’ “number one political donor.”,Democratic Underground," August 19, 2021",barely-true
6136,By Andy Nguyen ,"""100 Sailors at sea. All vaxxed. All with COVID (seven) weeks following deployment.""",Facebook posts," August 19, 2021",mostly-true
6137,By Bill McCarthy ,Joe Biden intentionally “let it fall apart” in Afghanistan because he “wants a couple hundred thousand more Ilhan Omars to come into America to change the body politic permanently.”,Charlie Kirk," August 19, 2021",pants-fire
6138,By Ciara O'Rourke ,Video shows Afghan riding on plane engine.,Viral image," August 19, 2021",false
6139,By Ciara O'Rourke ,The chaos at the Kabul airport as the Taliban took over Afghanistan’s capital was a “false flag event to provoke WW3.”,Instagram posts," August 19, 2021",pants-fire
6140,By Tom Kertscher ,“Fauci doesn’t trust new vaccine research as delta variant surges.”,Fox News Channel," August 18, 2021",false
6141,By Jason Asenso ,Image shows Harvard email terminating a student over social media accounts.,Viral image," August 18, 2021",pants-fire
6142,By Ciara O'Rourke ,“CA inmate pregnant after being forced to share prison with transgender ‘woman.’”,Viral image," August 18, 2021",false
6143,By Ciara O'Rourke ,Says Malala Yousafzai “is silent about the cries of women and children suffering at the hands of the Taliban.”,Viral image," August 18, 2021",false
6144,By Ciara O'Rourke ,“Biden’s teleprompter told him to ‘LEAVE NOW’ when his speech was concluded.”,Viral image," August 18, 2021",false
6145,By Clara Hendrickson ,“I don’t need” the COVID-19 vaccine. “I have natural immunity” that lasts “forever.”,Mike Shirkey," August 18, 2021",false
6146,By Ciara O'Rourke ,Says Military Times reported that a study found “60% of sailors who had been fully vaccinated with 2-shot series vaccines are now at risk for heart disease.”,Viral image," August 18, 2021",false
6147,By Louis Jacobson ,"The man next to Mike Pompeo in a November 2020 photo “is the guy the Trump administration helped get out of jail in 2018 and who is now the 'president' of Afghanistan.""",Instagram posts," August 18, 2021",mostly-true
6148,By Warren Fiske ,"“We watched Terry McAuliffe, when he was governor, lower the (accreditation) standards in our schools...”",Glenn Youngkin," August 18, 2021",mostly-true
6149,By Jason Asenso ,"Solar panel farms cause “hundreds and thousands” of birds to “hit that magnified sun, explode in flame ... (This) is going to bring the nation down.”",Louie Gohmert," August 17, 2021",half-true
6150,By Tom Kertscher ,"Donald Trump in 2020 ""said he trusted the Taliban and then set in motion an even earlier exit"" from Afghanistan.",Occupy Democrats," August 17, 2021",half-true
6151,By Tom Kertscher ,“Mayo Clinic study shows Pfizer vaccine dropped to 42% effective.”,Instagram posts," August 17, 2021",half-true
6152,By Ciara O'Rourke ,Says CNN said “Taliban fighters responsibly wearing masks.”,Viral image," August 17, 2021",false
6153,By Ciara O'Rourke ,Says CNN and other news organizations tweeted that a journalist was executed in Kabul by Taliban fighters.,Viral image," August 17, 2021",false
6154,By Andy Nguyen ,A six-month study from Pfizer shows that its vaccine “reduces severe COVID symptoms/hospitalizations by .1%.”,Instagram posts," August 17, 2021",barely-true
6155,By Ciara O'Rourke ,Says “Nancy Pelosi has been executed.”,Viral image," August 16, 2021",pants-fire
6156,By Ciara O'Rourke ,"Photo shows CNN chyron about Afghanistan that says, “Violent but mostly peaceful transfer of power.”",Viral image," August 16, 2021",false
6157,By Warren Fiske ,The General Assembly gave Gov. Ralph Northam “a $1 billion blank check.”,David Suetterlein," August 16, 2021",barely-true
6158,By Laura Schulte ,"Says of UW-Madison, ""It cost the university $50k (your tax dollars) to remove"" a rock considered by some a symbol of racism.",Rachel Campos-Duffy," August 14, 2021",pants-fire
6159,By Ciara O'Rourke ,“Rand Paul’s medical license was just revoked!”,Facebook posts," August 13, 2021",pants-fire
6160,By Cassidey Kavathas ,"Every time outgoing New York Gov. Andrew Cuomo “says the firearm industry ‘is immune from lawsuits,’ it's false.”",Elise Stefanik," August 13, 2021",mostly-true
6161,By Paul Specht ,"The United States' southern border is ""basically open"" and is ""a super spreader event.”",Gary Sides," August 13, 2021",false
6162,By Gabrielle Settles ,There is a “0.05% chance of dying from COVID.”,TikTok posts," August 13, 2021",false
6163,By Brandon Mulder ,The Biden administration is “not even testing these people” being released by Border Patrol into the U.S.,Ken Paxton," August 13, 2021",barely-true
6164,By Madeline Heim ,"“324,000 pregnant people experience domestic violence during their pregnancy.”",Gwen Moore," August 13, 2021",true
6165,By Jason Asenso ,Says actor Mike Mitchell died because of a COVID-19 booster shot.,Instagram posts," August 12, 2021",false
6166,By Tom Kertscher ,"The federal  infrastructure bill includes “a pilot program for a national motor vehicle per-mile user fee, which is basically a long-term plan to make it too expensive to drive a car.""",Viral image," August 12, 2021",barely-true
6167,By Gabrielle Settles ,Flights across America are backed up because airline crews are “refusing the mandated jab” and walking off boarded flights.,Facebook posts," August 12, 2021",false
6168,By Ciara O'Rourke ,"Says Gen. David H. Berger said, “No mandatory vaccinations for my Marines.”",Facebook posts," August 12, 2021",pants-fire
6169,By Amy Sherman ,"The White House plans to call for lockdowns due to the delta variant and is “aiming for late 2nd week of August, per WH official.”",Jack Posobiec," August 12, 2021",false
6170,By Madison Czopek ,“It’s not unusual for hospitals to sit at max or near max capacity on any given day.”,Erin Marie Olszewski," August 11, 2021",half-true
6171,By Ciara O'Rourke ,"Photo shows Ron DeSantis holding a shirt that says, “Your mask is as useless as Joe Biden.”",Viral image," August 11, 2021",false
6172,By Ciara O'Rourke ,Says Kathy Hochul is Nancy Pelosi’s stepsister.,Facebook posts," August 11, 2021",false
6173,By Tom Kertscher ,Says the surge in COVID-19 cases is caused by “antibody mediated viral enhancement” from the COVID-19 vaccines.,Dan Stock," August 11, 2021",pants-fire
6174,By Victoria Knight ,The Centers for Disease Control and Prevention’s recent guidance on students and masking “lacks a well-grounded scientific justification.”,Ron DeSantis," August 10, 2021",false
6175,By Ciara O'Rourke ,CNN had “Jeffrey Toobin on analyzing the Andrew Cuomo sexual harassment allegations as their legal expert.”,Viral image," August 10, 2021",false
6176,By D.L. Davis ,“We are not having replacement birth rates. We have had more people leaving the state than coming in over the last 30 years.”,Kurt Bauer," August 10, 2021",half-true
6177,By Ciara O'Rourke ,A slain Chicago police officer left behind a two-month-old baby.,Facebook posts," August 10, 2021",false
6178,By Tom Kertscher ,Suggests a suspicious link between the COVID-19 delta variant and company named Delta that works in 5G.,Viral image," August 10, 2021",false
6179,By Tom Kertscher ,Ivermectin is an effective treatment for COVID-19.,Viral image," August 10, 2021",barely-true
6180,By Warren Fiske ,“We actually have this critical race theory moved into all our schools in Virginia.”,Glenn Youngkin," August 10, 2021",false
6181,By Ciara O'Rourke ,“Pfizer CEO’s Israel visit canceled because he is not fully vaccinated.”,Viral image," August 9, 2021",barely-true
6182,By Tom Kertscher ,"""I will need to show proof to do anything indoors in” New York City, “but not when I vote?""",Viral image," August 9, 2021",half-true
6183,By Tom Kertscher ,"“The Vaccine Adverse Event Recording System shows that 5,946 people have died because of the” COVID-19 vaccine.",TikTok posts," August 9, 2021",false
6184,By Tom Kertscher ,"Unvaccinated people “are making the vaccinated people sick and die, but the unvaccinated people are not dead or sick.”",Viral image," August 9, 2021",false
6185,By Tom Kertscher ,"Says there are fewer than 2,000 confirmed COVID-19 hospitalizations in the U.S.",Viral image," August 9, 2021",false
6186,By Monique Curet ,“Pfizer vaccine now completely worthless in Israel as >80% of all COVID-19 patients were previously vaccinated.”,Facebook posts," August 9, 2021",false
6187,By Ciara O'Rourke ,“Due to the new ‘delta variant’ California will be mailing in ballots for recall election.”,Viral image," August 6, 2021",false
6188,By Jason Asenso ,The survival rate for COVID-19 is over 99% for most age groups.,Instagram posts," August 6, 2021",false
6189,By Tom Kertscher ,"Sweden had few COVID deaths in July, despite low vaccination rates, relaxed lockdown rules and low mask compliance.",Steve Deace," August 6, 2021",half-true
6190,By Ciara O'Rourke ,The “delta” in “delta variant” means “deep sleep.”,Viral image," August 6, 2021",false
6191,By Sabine Martin ,"“By 2040, 70% of the population is expected to live in just 15 states.”",J.D. Scholten," August 6, 2021",mostly-true
6192,By Louis Jacobson ,Says Joe Biden has driven the current coronavirus surge because he “imported more virus from around the world by having a wide open southern border.”,Ron DeSantis," August 6, 2021",false
6193,By Ciara O'Rourke ,Photo shows Laurel Hubbard “winning the women's weight lifting competition” at the Olympics.,Viral image," August 6, 2021",false
6194,By Paul Specht ,“More people have died of an opioid overdose in North Carolina in recent years than have died of COVID.”,Josh Stein," August 6, 2021",barely-true
6195,By Brandon Mulder ,A quorum-breaking Texas Democrat said in 2007 that mail-in ballot fraud “is the greatest source of voter fraud in this state.”,Chip Roy," August 6, 2021",true
6196,By Laura Schulte ,"Says spending by Democrats is driving major jumps in car rentals, gas prices and hotel prices this summer",Tom Tiffany," August 6, 2021",barely-true
6197,By Bill McCarthy ,"""If your employer is mandating any pokes, do not quit. Make them fire you. That way you get unemployment benefits.""",Facebook posts," August 5, 2021",false
6198,By Kelsey Sena Tamakloe ,"Quotes Abraham Lincoln as saying, “You cannot help the poor by destroying the rich.”",Facebook posts," August 5, 2021",false
6199,By Amy Sherman ,"Two federal government buses “stopped in front of a Mexican restaurant in the very small town of Green Cove Springs Florida… The passengers were illegal immigrants, straight from the southern border.”",Facebook posts," August 5, 2021",false
6200,By Warren Fiske ,“Wearing masks has not been demonstrated to make a significant impact in preventing the spread of COVID.”,Bob Good," August 5, 2021",false
6201,By Kiannah Sepeda-Miller ,House Speaker Nancy Pelosi’s “office was calling the shots on all of their (Capitol security officials’) actions on Jan. 6.”,Rodney Davis," August 5, 2021",barely-true
6202,By Monique Curet ,"“CDC confesses: Vaccines are failing, and the vaxxed can be superspreaders.”",Instagram posts," August 4, 2021",false
6203,By Tom Kertscher ,It’s safer to be unvaccinated than vaccinated against COVID-19.,Viral image," August 4, 2021",false
6204,By Michael Majchrowicz ,Ivermectin caused a substantial decrease in the excess mortality rate in Mexico.,Facebook posts," August 4, 2021",false
6205,By Jon Greenberg ,Says Joe Biden and Democrats “have done absolutely nothing to help families struggling to keep up with inflation.”,Rick Scott," August 4, 2021",false
6206,By Andy Nguyen ,“Fauci just told us they found a (coronavirus) variant that ‘evades the test.’”,Facebook posts," August 4, 2021",false
6207,By Madeline Heim ,Says Gov. Tony Evers has declared Wisconsin “permanently closed” for business.,Rebecca Kleefisch," August 4, 2021",false
6208,By Tom Kertscher ,"“The best way to avoid COVID altogether is to exercise, eat healthy and let your immune system beat it naturally.”",Facebook posts," August 3, 2021",barely-true
6209,By Amy Sherman ,Florida Agriculture Commissioner Nikki Fried “suspended gun rights — no due process — just because she says these people were merely ‘involved’ in January 6.”,Facebook posts," August 3, 2021",barely-true
6210,By Louis Jacobson ,"""The CDC has the power to extend the eviction moratorium.”",Nancy Pelosi," August 3, 2021",barely-true
6211,By Paul Specht ,"Says he worked to pass the 2018 farm bill “that helped farmers, invest(ed) in rural broadband, and added work requirements for able-bodied adults, Budd voted NO.”",Mark Walker," August 3, 2021",half-true
6212,By Warren Fiske ,“Under Terry McAuliffe (there was a) record investment in education.”,Terry McAuliffe," August 2, 2021",barely-true
6213,By Monique Curet ,"“Thanks to (Israel's) sacrifice, we now know that natural immunity is far superior with 1% experiencing re-infection while 40% of new cases were previously vx'd.""",Facebook posts," August 2, 2021",barely-true
6214,By Jason Asenso ,"Says Novak Djokovic said of Simone Biles: “Pressure is a privilege, my friend. ...If you are aiming to be at the top of the game you better start learning how to deal with pressure…”",Facebook posts," August 2, 2021",barely-true
6215,By Tom Kertscher ,"""They didn't allow"" Simone Biles ""to take her ADHD medication.""",Facebook posts," August 2, 2021",false
6216,By Ciara O'Rourke ,“Type-2 diabetes gummies nets the biggest deal in ‘Shark Tank’ history!”,Bloggers," August 2, 2021",false
6217,By Ciara O'Rourke ,Photos show Lloyd Austin without a face shield after he landed in the Philippines.,Marco Rubio," August 2, 2021",barely-true
6218,By Gabrielle Settles ,Says the white man who wanted Rosa Parks’ seat on the bus was suffering from ADHD and anxiety.,Facebook posts," August 2, 2021",false
6219,By Warren Fiske ,"When Terry McAuliffe was governor, “Unemployment went down in every single county, including rural Virginia by nearly 50%.",Joe Biden," July 30, 2021",mostly-true
6220,By Kiannah Sepeda-Miller ,“You can't actually use ARPA (American Rescue Plan Act) funds” to pay down state unemployment insurance fund deficits.,JB Pritzker," July 30, 2021",false
6221,By Amy Sherman ,Mail-in voting requires no signature verification.,Facebook posts," July 30, 2021",false
6222,By Tom Kertscher ,“A known antifa member” dressed as a Donald Trump supporter “and caused the Capitol riot” on Jan. 6.,Viral image," July 30, 2021",barely-true
6223,By Victoria Knight ,"CDC ""will revoke the emergency use authorization"" of the PCR COVID tests because those tests don't differentiate between COVID and flu viruses. ""Translation: They've been adding flu cases to Covid cases when using that test.”",Facebook posts," July 30, 2021",false
6224,By Ciara O'Rourke ,“More than 40 military tribunals testified.”,Facebook posts," July 30, 2021",false
6225,By Jason Asenso ,“60% of patients admitted to the hospital in the UK have been fully vaccinated”,Facebook posts," July 30, 2021",false
6226,By Bill McCarthy ,Says D.C. police officer Michael Fanone is the same person who was arrested after carrying a Confederate flag through the U.S. Capitol on Jan. 6.,Instagram posts," July 30, 2021",pants-fire
6227,By Madison Czopek ,The opening ceremony of the 2012 London Olympics predicted the COVID-19 pandemic.,Facebook posts," July 30, 2021",pants-fire
6228,By Ciara O'Rourke ,“George Washington mandated smallpox vaccines for the Continental Army.”,Viral image," July 30, 2021",mostly-true
6229,By Ciara O'Rourke ,“U.S. military holding White House for Trump’s return.”,Facebook posts," July 30, 2021",pants-fire
6230,By Tom Kertscher ,"General Motors “admits the 'clean' energy used to charge electric cars comes from coal, 95% coal, to be exact.""",Facebook posts," July 29, 2021",false
6231,By Kelsey Sena Tamakloe ,Photo shows the place where “the Atlantic Ocean and the Pacific Ocean face each other without mixing.”,Viral image," July 29, 2021",false
6232,By Ciara O'Rourke ,"Photo shows Donald Trump supporters protesting Joe Biden’s visit to Allentown, Pa.",Viral image," July 29, 2021",false
6233,By Jon Greenberg ,"“Thanks to the insane tax-and-spending spree of President Joe Biden and Democrats in Washington, we are seeing six straight months of raging inflation.”",Rick Scott," July 29, 2021",barely-true
6234,By Ciara O'Rourke ,"Says Emmanuel Macron said, “I no longer have any intention of sacrificing my life, my time, my freedom and the adolescence of my daughters, as well as their right to study properly, for those who refuse to be vaccinated.”",Viral image," July 29, 2021",false
6235,By Emily Tian ,“Alert: Law enforcement and the Red Cross have advised that there are people going door to door indicating that they are authorized to do testing for Coronavirus.”,Facebook posts," July 29, 2021",barely-true
6236,By Ciara O'Rourke ,"Says Marjorie Taylor Greene said, “Jesus loves the U.S. most and that is why the Bible is written in English.”",Facebook posts," July 29, 2021",false
6237,By Andy Nguyen ,Ethylene oxide used in COVID-19 testing swabs “literally changes the structure of the building blocks of your own body.”,Facebook posts," July 29, 2021",false
6238,By Tom Kertscher ,"Says Joe Biden “is restricting travel for Americans into Mexico, but is keeping the border wide open for illegal aliens to walk right into our country.”",X posts," July 28, 2021",barely-true
6239,By Tom Kertscher ,"“CDC quietly deletes 6,000 COVID vaccine deaths from its CDC website total in one day.”",Facebook posts," July 28, 2021",barely-true
6240,By Tom Kertscher ,People charged in the Jan. 6 assault on the U.S. Capitol are “political prisoners” and “non-violent trespassers” who have been held in solitary confinement for the past six months.,Instagram posts," July 28, 2021",barely-true
6241,By Gabrielle Settles ,"Says George Floyd’s criminal history includes “23 arrests,” “3 car thefts” and many violent crimes.",Facebook posts," July 28, 2021",false
6242,By Jason Asenso ,"""Kansas City Chiefs QB Patrick Mahomes has left training camp and says he will ‘not play another down in the NFL’ until the team changes their name.”",Facebook posts," July 28, 2021",pants-fire
6243,By Tom Kertscher ,“Don’t believe the hype that Florida” COVID-19 “numbers are up. It’s a blatant lie.”,Erin Marie Olszewski," July 27, 2021",pants-fire
6244,By Bill McCarthy ,There are “22 million illegal aliens living in America and ... voting illegally.”,Facebook posts," July 27, 2021",false
6245,By Monique Curet ,Video montage shows Kamala Harris and others faking vaccination.,Facebook posts," July 27, 2021",false
6246,By Kelsey Sena Tamakloe ,“Drivers with no DUIs are getting up to $610 back in savings.”,Facebook posts," July 27, 2021",false
6247,By Jason Asenso ,“It makes no sense to require vaccinations for the previously infected.”,Facebook posts," July 27, 2021",false
6248,By Ciara O'Rourke ,Says an NBC producer at the Olympics was caught on a hot mic saying “60% of people in this stadium will be dead within 10 days.”,Viral image," July 27, 2021",false
6249,By Madison Czopek ,A photograph shows members of the U.S. women’s soccer team kneeling during the national anthem at the Tokyo Olympics.,Facebook posts," July 26, 2021",false
6250,By Tom Kertscher ,"""People are being diagnosed with delta variant"" even though ""there is no delta variant test.""",Facebook posts," July 26, 2021",barely-true
6251,By Ciara O'Rourke ,"“Child support card” in Delaware ""controls what mothers can and cannot buy with child support money.”",Viral image," July 26, 2021",false
6252,By Bill McCarthy ,The government is “monitoring SMS texts for dangerous misinformation about COVID vaccines.”,Joe Rogan," July 26, 2021",barely-true
6253,By Tom Kertscher ,"“Ambassador Susan Rice Tribunal, Gavin Newsom indicted.”",Facebook posts," July 26, 2021",pants-fire
6254,By Paul Specht ,"""Lumber prices can be tied to the (Trump) administration’s actions.""",Alma Adams," July 23, 2021",half-true
6255,By Sasha Hupka ,"“California has a personal belief exemption to any new vaccine added to the schedule after June 2015 for public and private daycare, preschool and K-12.”",Instagram posts," July 23, 2021",false
6256,By Louis Jacobson ,"""The cost of an automobile, it's kind of back to what it was before the pandemic.""",Joe Biden," July 23, 2021",false
6257,By Jason Asenso ,“Queen Elizabeth and her husband Prince Philip were found guilty in the disappearance of 10 native children from the Catholic-run Kamloops residential school”,Facebook posts," July 23, 2021",pants-fire
6258,By Emily Tian ,"Referring to a destroyed brick mural of George Floyd, said it’s highly unusual for a brick wall to be destroyed by lightning.",Donald Trump Jr.," July 23, 2021",false
6259,By Emily Tian ,“Coca-Cola has lost $4 bil in market value as people are boycotting Coke for their ‘try to be less White’ statement.”,Facebook posts," July 23, 2021",false
6260,By Amy Sherman ,“This week the military was moving big equipment into the major big cities preparing for the Maricopa audit results.”,Facebook posts," July 23, 2021",false
6261,By Tom Kertscher ,Says Joe Biden and Kamala Harris distrusted COVID-19 vaccines.,TikTok posts," July 23, 2021",false
6262,By Jon Greenberg ,"""Income taxes are voluntary.""",Facebook posts," July 23, 2021",pants-fire
6263,By Brandon Mulder ,“Seventy four thousand... That’s how many mail-in ballots were recently found in Arizona that have NO clear record of being sent in.”,Texas GOP," July 23, 2021",pants-fire
6264,By Gabrielle Settles ,The coronavirus can’t be so dangerous because there are no biohazard bins for COVID-19 masks and gloves.,Facebook posts," July 22, 2021",false
6265,By Louis Jacobson ,"“Ten thousand people have recently died. 9,950 of them, thereabouts, are people who hadn’t been vaccinated.""",Joe Biden," July 22, 2021",mostly-true
6266,By Jon Greenberg ,“President Biden says he wants to ban handguns.”,House Republicans," July 22, 2021",false
6267,By Amy Sherman ,“You’re not going to get COVID if you have these vaccinations.”,Joe Biden," July 22, 2021",half-true
6268,By Natalie Dunlap ,"“In South Dakota, I’m putting prayer back in our schools.”",Kristi Noem," July 22, 2021",false
6269,By Tom Kertscher ,"“Arizona and Georgia now have the proof,” Joe Biden is “not our elected president!”",Viral image," July 22, 2021",pants-fire
