,Unnamed: 0,author,title,source,date,target
5942,5942,By Paul Specht ,ted budd family used agribiotech money help give donation these washington special interest group that are running negative ad against the senate race,Pat McCrory," October 8, 2021",barely-true
5943,5943,By Louis Jacobson ,were you aware the trillion human infrastructure package includes animal agriculture tax per head cattle for swine,Facebook posts," October 8, 2021",false
5944,5944,By Louis Jacobson ,thirty year ago the united state ranked sixth among advanced economy the share woman the workforce you know where are today twenty three,Joe Biden," October 8, 2021",mostly-true
5945,5945,By Tom Kertscher ,cdc number show that among child the pfizer and moderna covid vaccine have death rate time higher than the covid death rate,X posts," October 7, 2021",pants-fire
5946,5946,By Samantha Putterman ,person immune system tank after their second covid vaccine dose,YouTube videos," October 7, 2021",false
5947,5947,By Bill McCarthy ,you are more likely child end the hospital because the vaccine than you are because covid that data from the cdc and from vaers,Will Cain," October 7, 2021",false
5948,5948,By Tom Kertscher ,president joe biden cut billion black college and university,Viral image," October 7, 2021",false
5949,5949,By Jon Greenberg ,there fda approval for the pfizer biontech vaccine for covid,10 GOP Louisiana Lawmakers," October 7, 2021",false
5950,5950,By Gabrielle Settles ,covid internment camp announced america tennessee governor sign authorizing national guard carry out covid medical kidnapping,TikTok posts," October 7, 2021",pants-fire
5951,5951,By Jon Greenberg ,there are precious few religion that actually say you cannot get vaccinated,Anthony Fauci," October 6, 2021",mostly-true
5952,5952,By Amy Sherman ,raising the debt limit usually bipartisan undertaking,Joe Biden," October 6, 2021",half-true
5953,5953,By Allison Garfield ,not have approved covid vaccine america the pfizer vaccine available the not fda approved,Ron Johnson," October 5, 2021",false
5954,5954,By Elisa Contreras ,became net exporter natural gas and until recently our export have exceeded our import,Carol Miller," October 5, 2021",half-true
5955,5955,By Tom Kertscher ,new data show that death proportional dose for covid,Instagram posts," October 5, 2021",false
5956,5956,By Maxwell Ionno ,west virginia gallon gas nearly one dollar more than wa year ago and paying about cent more for gallon milk than did this time last year,Shelley Moore Capito," October 5, 2021",mostly-true
5957,5957,By Louis Jacobson ,the pharmaceutical industry ha lobbyist capitol hill right now trying stop medicare drug price negotiation,Bernie Sanders," October 5, 2021",half-true
5958,5958,By Samantha Putterman ,sophia stewart wrote book the that were stolen from her warner bros terminator the matrix she won hollywood biggest lawsuit billion,Instagram posts," October 5, 2021",false
5959,5959,By Emma Copley ,you look the hospitalization ruby memorial west virginia and around the country those hospitalized are unvaccinated,Kathryn Moffett Bradford," October 5, 2021",true
5960,5960,By John Brumley ,overdose death are from the prior year,David McKinley," October 5, 2021",true
5961,5961,By Jon Greenberg ,say covid case israel july were fully vaccinated individual,TikTok posts," October 5, 2021",false
5962,5962,By D.L. Davis ,tax cut and repealing wisconsin personal property tax business,Tony Evers," October 5, 2021",half-flip
5963,5963,By Noah Y. Kim ,this infrastructure bill page present federal property tax percent all home and land both residential and commercial,Facebook posts," October 4, 2021",pants-fire
5964,5964,By Amy Sherman ,approximately canadian currently live undocumented the usa,Cori Bush," October 4, 2021",mostly-true
5965,5965,By Kiannah Sepeda-Miller ,republican have been vaccinated against covid illinois,Terri Bryant," October 3, 2021",false
5966,5966,By Gabrielle Settles ,million have died from covid injection,Bloggers," October 1, 2021",pants-fire
5967,5967,By Andy Nguyen ,the pfizer covid vaccine contains undisclosed ingredient how informed consent possible,Instagram posts," October 1, 2021",false
5968,5968,By Tom Kertscher ,the vaccination campaign increased covid death one year,Viral image," October 1, 2021",false
5969,5969,By Bill McCarthy ,biden order dishonorable discharge for troop who refuse vaccine,Instagram posts," October 1, 2021",false
5970,5970,By Isabella Fertel ,there are now cargo freighter anchored off the coast california from oakland long beach what can only considered manufactured supply chain halt,Facebook posts," October 1, 2021",barely-true
5971,5971,By Jon Greenberg ,say sen joe manchin and kyrsten sinema are republican just look the way they vote,Don Lemon," September 30, 2021",barely-true
5972,5972,By Noah Y. Kim ,norway decided that the coronavirus should treated like other respiratory disease such the flu cold because more dangerous than those mentioned,Bloggers," September 30, 2021",false
5973,5973,By Amy Sherman ,arizona audit show voter don appear exist,Facebook posts," September 30, 2021",false
5974,5974,By Tom Kertscher ,pfizer launch final study for covid drug that suspiciously similar horse paste ivermectin,Bloggers," September 30, 2021",false
5975,5975,By Samantha Putterman ,the government pay out month refugee benefit refugee resettled the united state while social security recipient who have paid into the system their whole life receive month average,Instagram posts," September 30, 2021",barely-true
5976,5976,By Louis Jacobson ,the white house created fake set for president joe biden get his booster shot the entire biden presidency one giant charade,Facebook posts," September 30, 2021",false
5977,5977,By Gabrielle Settles ,vaers report show that baby whose mother got the covid vaccine died after breastfeeding,Instagram posts," September 30, 2021",false
5978,5978,By Tom Kertscher ,the audit the presidential election maricopa county ariz cost the taxpayer million,Instagram posts," September 30, 2021",barely-true
5979,5979,By Laura Schulte ,say the national archive put harmful content warning our nation founding document,Glenn Grothman," September 30, 2021",half-true
5980,5980,By Noah Y. Kim ,the biden backed infrastructure bill contains provision establishing per mile driving tax,Facebook posts," September 29, 2021",false
5981,5981,By Tom Kertscher ,there are missing kid year,Viral image," September 29, 2021",barely-true
5982,5982,By Amy Sherman ,arizona could decertify the presidential election,Facebook posts," September 29, 2021",pants-fire
5983,5983,By Jon Greenberg ,democrat want tax your retirement fund pay for their new trillion dollar power grab,Common Sense Leadership Fund," September 29, 2021",barely-true
5984,5984,By Tom Kertscher ,the democrat want you american taxpayer shell out billion for non racist tree,FreedomWorks," September 29, 2021",barely-true
5985,5985,By Warren Fiske ,qualified immunity,Terry McAuliffe," September 29, 2021",full-flop
5986,5986,By Bill McCarthy ,year old girl now critical care the hospital here halifax because her heart stopped right after she had vaccine,Instagram posts," September 28, 2021",false
5987,5987,By Noah Y. Kim ,news camera shut off just biden wa asked gave the taliban hit list evacuating american and afghan official,Facebook posts," September 28, 2021",false
5988,5988,By Amy Sherman ,say biden didn win arizona lost arizona based the forensic audit,Donald Trump," September 28, 2021",pants-fire
5989,5989,By Louis Jacobson ,funeral home used truck advertise the message don get vaccinated,Instagram posts," September 28, 2021",barely-true
5990,5990,By Samantha Putterman ,breaking news supreme court ha canceled universal vaccination the united state,Instagram posts," September 28, 2021",false
5991,5991,By Bill McCarthy ,maricopa county official purged machine record before audit started,Instagram posts," September 28, 2021",false
5992,5992,By Victoria Knight ,insurance company and washington bureaucrat are working together swipe billion from medicare pay for pelosi and schumer out control spending spree,60 Plus Association," September 28, 2021",false
5993,5993,By Tom Kertscher ,the yearly cost religious tax exemption billion the church paid tax everyone would only have pay tax,Viral image," September 28, 2021",false
5994,5994,By Paul Specht ,child and teen suicide attempt skyrocketed according one study done hospital,Madison Cawthorn," September 28, 2021",barely-true
5995,5995,By Tom Kertscher ,the naacp want the confederate memorial carving sandblasted off stone mountain,Viral image," September 27, 2021",half-true
5996,5996,By Tom Kertscher ,verizon promotes defunding the police and the idea that america fundamentally racist,TikTok posts," September 27, 2021",barely-true
5997,5997,By Madison Czopek ,say doctor received letter stating that they say anything bad about the vaccine they are risk losing their medical license how messed that,TikTok posts," September 27, 2021",false
5998,5998,By Noah Y. Kim ,the arizona forensic audit found over duplicate vote,Facebook posts," September 27, 2021",false
5999,5999,By Jon Greenberg ,democrat are responsible for the massive spending and debt growth they alone need take responsibility for raising the debt limit,Rick Scott," September 27, 2021",barely-true
6000,6000,By Samantha Putterman ,the fda advisory board said unvaccinated people are more educated than most people who have gotten the covid vaccine,Instagram posts," September 24, 2021",false
6001,6001,By D.L. Davis ,the gop controlled legislature ha refused act least appointee gov tony evers,Chris Larson," September 24, 2021",true
6002,6002,By Gabrielle Settles ,say canadian prime minister justin trudeau and wife sophie faked their covid vaccination live television,Facebook posts," September 24, 2021",false
6003,6003,By Tom Kertscher ,say joe biden said haiti just quietly sunk into the caribbean rose foot wouldn matter whole lot term our interest,Instagram posts," September 24, 2021",half-true
6004,6004,By Jill Terreri Ramos ,under mayor byron brown been defunding community center our pool were closed this summer been defunding senior and youth service,India Walton," September 24, 2021",barely-true
6005,6005,By Madeline Heim ,wisconsin governor tony evers wanted raise your tax billion pandemic republican stopped him and delivered the largest tax cut state history,Alberta Darling," September 24, 2021",mostly-true
6006,6006,By Andy Nguyen ,liability warning acknowledgement form allows worker sue their company they get injured from the covid vaccine,Facebook posts," September 23, 2021",false
6007,6007,By Amy Sherman ,haitian migrant took implausible route texas mexico border area,Facebook posts," September 23, 2021",barely-true
6008,6008,By Jon Greenberg ,result the massive decline natural gas price saving life per year the,Gary Palmer," September 23, 2021",half-true
6009,6009,By Warren Fiske ,time and again glenn youngkin ha made clear would ban abortion governor,Terry McAuliffe," September 23, 2021",half-true
6010,6010,By Tom Kertscher ,pfizer vaccine kill more people than save,Steve Kirsch," September 22, 2021",pants-fire
6011,6011,By Ciara O'Rourke ,say the covid vaccine doesn prevent catching spreading the virus and only last month,Facebook posts," September 21, 2021",false
6012,6012,By Duncan Slade ,west virginia university just came out with study that showed that there will almost job created clean energy west virginia president joe biden agenda passed,Jennifer Granholm," September 21, 2021",half-true
6013,6013,By Ciara O'Rourke ,the cdc and county health official have obtained census record enhance their vaccination enforcement protocol,Bloggers," September 21, 2021",pants-fire
6014,6014,By Laura Schulte ,president biden ha created more job his first month than any potus history,Gwen Moore," September 21, 2021",half-true
6015,6015,By Zach DeLuca ,the united state spent trillion dollar train and equip the afghan military over the past year they fell week,Richard Ojeda," September 21, 2021",half-true
6016,6016,By Tom Kertscher ,peak active case covid for show this not pandemic the unvaccinated,Viral image," September 20, 2021",false
6017,6017,By Ciara O'Rourke ,photo show the health minister canada and los angeles,Viral image," September 20, 2021",false
6018,6018,By Ciara O'Rourke ,photo show gravestone japan with code,Viral image," September 20, 2021",false
6019,6019,By Tom Kertscher ,hundred thousand died after taking the advice these celebrity who are aiding and abetting mass murder advocating covid vaccination,Facebook posts," September 20, 2021",false
6020,6020,By Paul Specht ,say left black hawk the taliban which ha more than all country,Richard Hudson," September 20, 2021",half-true
6021,6021,By Ciara O'Rourke ,cdc say expect polio like outbreak coming child the next four month,Instagram posts," September 17, 2021",false
6022,6022,By Ciara O'Rourke ,say tim tebow wrote the government might preparing for cashless society but wa predicted the bible,Viral image," September 17, 2021",false
6023,6023,By Noah Y. Kim ,say president joe biden told people get vaccinated against covid protect themselves from hurricane,TikTok posts," September 17, 2021",false
6024,6024,By Tom Kertscher ,the pfizer covid vaccine not approved,TikTok posts," September 17, 2021",false
6025,6025,By D.L. Davis ,other country the planet witness the number gun death that here the united state and not even close,Melissa Agard," September 17, 2021",barely-true
6026,6026,By Natalie Dunlap ,opponent want abolish law enforcement,Mariannette Miller-Meeks," September 17, 2021",false
6027,6027,By Ciara O'Rourke ,ida wa the strongest hurricane ever strike anywhere the united state,Viral image," September 17, 2021",false
6028,6028,By Gabrielle Settles ,photo show rihanna pregnant,Facebook posts," September 16, 2021",pants-fire
6029,6029,By Gabrielle Settles ,say video clip showing coffin field prof covid wa planned,Facebook posts," September 16, 2021",pants-fire
6030,6030,By Ciara O'Rourke ,say alexandria ocasio cortez spent attend the met gala and god know how much that dress,Viral image," September 16, 2021",false
6031,6031,By Ciara O'Rourke ,say new apple update will scan iphones for image,Viral image," September 16, 2021",half-true
6032,6032,By Alan Hovorka ,say the only candidate the wisconsin attorney general race with experience prosecutor,Eric Toney," September 16, 2021",false
6033,6033,By Tom Kertscher ,biden treasury department declares irs will monitor all account over,  Infowars," September 15, 2021",barely-true
6034,6034,By Ciara O'Rourke ,say cnn broadcast show vote just disappeared the california recall election,Viral image," September 15, 2021",false
6035,6035,By Jon Greenberg ,people who have recovered from covid have very strong immunity,Ron DeSantis," September 15, 2021",mostly-true
6036,6036,By Ciara O'Rourke ,ivermectin ha been fda approved for human use since,Facebook posts," September 15, 2021",mostly-true
6037,6037,By Vanessa Swales ,say gov tony evers and violence kenosha after the police shooting jacob blake took the loss life before help finally came,Empower Wisconsin," September 15, 2021",false
6038,6038,By Lauren White ,result the per month that working parent are now receiving for their young child that have reduced childhood poverty the united state,Bernie Sanders," September 15, 2021",half-true
6039,6039,By Ciara O'Rourke ,biden order withhold benefit from unvaccinated veteran,Viral image," September 14, 2021",pants-fire
6040,6040,By Ciara O'Rourke ,video show child who tested positive for covid being separated from their parent,Viral image," September 14, 2021",false
6041,6041,By Isabella Fertel ,california ha more registered voter than should,Election Integrity Project California," September 14, 2021",pants-fire
6042,6042,By Tom Kertscher ,the top pay income tax,Facebook posts," September 14, 2021",false
6043,6043,By Amy Sherman ,stunning report nearly million mail ballot were not counted the election,Facebook posts," September 14, 2021",barely-true
6044,6044,By Madison Czopek ,farmer stand silence auction young man can buy back his family farmhouse,Facebook posts," September 14, 2021",false
6045,6045,By Tom Kertscher ,polling center tell some republican they already voted the california recall election,Breitbart," September 14, 2021",half-true
6046,6046,By Andy Nguyen ,japan say goodbye moderna hello ivermectin,Instagram posts," September 14, 2021",barely-true
6047,6047,By Ciara O'Rourke ,say the defense secretary texted all active military personnel saying they needed get vaccinated the following morning court martialed,Instagram posts," September 14, 2021",pants-fire
6048,6048,By Warren Fiske ,the parole board operates with mark herring advice and consent,Jason Miyares," September 14, 2021",false
6049,6049,By Tom Kertscher ,florida ha had hurricane since yet expert are saying the last one wa due climate change,Viral image," September 13, 2021",false
6050,6050,By Alan Hovorka ,the only front line prosecutor this race that actually used the resource the wisconsin crime lab the prosecution case,Eric Toney," September 13, 2021",mostly-true
6051,6051,By Jill Terreri Ramos ,before crime had been falling every year year after year the city buffalo,Byron Brown," September 11, 2021",mostly-true
6052,6052,By Sasha Hupka ,california moving folk out encampment into safe housing and getting them the mental health service they need,Gavin Newsom," September 11, 2021",half-true
6053,6053,By Chris Nichols ,don believe the science suggests that young people should vaccinated don believe that young people should have wear mask school not sure the science settled that all,Larry Elder," September 11, 2021",false
6054,6054,By Ciara O'Rourke ,say tiktok found cassie compton who ha been missing from arkansas since,Facebook posts," September 10, 2021",false
6055,6055,By Tom Kertscher ,the bidens own chinese firm whose stock almost since joe biden wa elected,Viral image," September 10, 2021",false
6056,6056,By Ciara O'Rourke ,say the tampa bay buccaneer owner paid for wall street journal critical the president,Viral image," September 10, 2021",false
6057,6057,By Noah Y. Kim ,air force pilot resign over covid vaccination mandate,Facebook posts," September 10, 2021",pants-fire
6058,6058,By Ciara O'Rourke ,fema forcibly vaccinating ida evacuee,Viral image," September 10, 2021",false
6059,6059,By Andy Nguyen ,ivermectin sterilizes the majority the men who take,Facebook posts," September 9, 2021",false
6060,6060,By Gabrielle Settles ,say nancy pelosi aug blocked member congress from reading aloud the house floor the name the service member killed afghanistan,Facebook posts," September 9, 2021",barely-true
6061,6061,By Jon Greenberg ,the frequency hurricane making landfall the continental ha declined slightly since there aren more powerful hurricane either,Bjorn Lomborg," September 9, 2021",half-true
6062,6062,By Tom Kertscher ,president putin ban mandatory vaccination russia,Instagram posts," September 9, 2021",false
6063,6063,By Amy Sherman ,the texas abortion law provides least six week for person able get abortion,Greg Abbott," September 9, 2021",false
6064,6064,By Ciara O'Rourke ,germany halt all covid vaccine say they are unsafe and longer recommended,Bloggers," September 9, 2021",false
6065,6065,By Ciara O'Rourke ,photo show chinese restaurant sign that say desantis,Instagram posts," September 9, 2021",pants-fire
6066,6066,By Ciara O'Rourke ,military arrest hunter biden,Bloggers," September 8, 2021",pants-fire
6067,6067,By Tom Kertscher ,say demonstration with air quality monitor show that cloth mask are dangerous for child,Facebook posts," September 8, 2021",false
6068,6068,By Louis Jacobson ,texas rank baby wellness check rank clinical care for infant rank uninsured woman rank maternal mortality rank school funding per child and rank child hunger,Occupy Democrats," September 8, 2021",half-true
6069,6069,By Louis Jacobson ,all american afghanistan who have wanted come out have come out,Charles Schumer," September 7, 2021",false
6070,6070,By Ciara O'Rourke ,video show pfizer lab madrid fire,Viral image," September 7, 2021",false
6071,6071,By Madison Czopek ,bill gate call for the withdrawal all covid vaccine the vaccine are far more dangerous than anyone imagined,Bloggers," September 7, 2021",pants-fire
6072,6072,By Andy Nguyen ,the government trying create food shortage telling farmer destroy their crop,Viral image," September 7, 2021",false
6073,6073,By Amy Sherman ,woman are disproportionately impacted voter law especially married woman who change their name those whose id not accurately reflect their gender,Joe Biden," September 7, 2021",mostly-true
6074,6074,By Warren Fiske ,the virginia employment commission sixth the nation for getting benefit eligible people quickly,Ralph Northam," September 7, 2021",mostly-true
6075,6075,By Brandon Mulder ,the last several month the biden administration ha released over illegal alien who were covid positive just one texas city biden border policy are endangering not just the people texas but people all across the country,Ted Cruz," September 3, 2021",false
6076,6076,By D.L. Davis ,end eviction moratorium mean million american could lose their housing the middle pandemic,Mark Pocan," September 3, 2021",true
6077,6077,By Miriam Valverde ,the average hospital stay for case covid cost about the vaccine free,Pramila Jayapal," September 2, 2021",mostly-true
6078,6078,By Jon Greenberg ,these telecom and internet company comply with the democrat order turn over private information they are violation federal law and subject losing their ability operate the united state,Kevin McCarthy," September 2, 2021",false
6079,6079,By Gabrielle Settles ,following hurricane ida animal from turtle back zoo new jersey are fleeing the premise,Facebook posts," September 2, 2021",pants-fire
6080,6080,By Duncan Slade ,near morgantown moderna shipment truck crashed hazmat dispatched airspace shut down and now apparently emergency response claiming the department defense took over,X posts," September 2, 2021",half-true
6081,6081,By Tom Kertscher ,new israeli study find fully vaccinated people are greater risk hospitalization and time more likely catch covid than those who have recovered and have natural immunity,The Gateway Pundit," September 1, 2021",half-true
6082,6082,By Tom Kertscher ,veteran group rescued afghan ally behind biden back,The Gateway Pundit," September 1, 2021",false
6083,6083,By Tom Kertscher ,the left the taliban arsenal afghanistan including assault rifle and humvee,Viral image," September 1, 2021",barely-true
6084,6084,By Kiannah Sepeda-Miller ,say the chicago heat wave wa the largest single day non war fatality the united state prior and are now expecting temperature that hot chicago every summer,Sean Casten," September 1, 2021",barely-true
6085,6085,By Warren Fiske ,glenn youngkin called covid relief unnecessary,Terry McAuliffe," September 1, 2021",barely-true
6086,6086,By Bill McCarthy ,video show the taliban hanging someone from helicopter,X posts," August 31, 2021",false
6087,6087,By Tom Kertscher ,the covid vaccine were released the public after only two month testing healthy human,Facebook posts," August 31, 2021",barely-true
6088,6088,By Miriam Valverde ,the trump administration worked free taliban prisoner,Mitt Romney," August 31, 2021",true
6089,6089,By Ciara O'Rourke ,photo show the service member killed suicide bombing kabul,Viral image," August 31, 2021",false
6090,6090,By Bill McCarthy ,the mrna covid vaccine are really gene therapy,Joe Rogan," August 31, 2021",false
6091,6091,By D.L. Davis ,afghanistan over billion dollar spent military contract,Mandela Barnes," August 31, 2021",true
6092,6092,By Samantha Putterman ,friendly reminder cigarette are fda approved,Facebook posts," August 30, 2021",false
6093,6093,By Madison Czopek ,walmart kidnapping kid and selling them and this can proven searching girl shoe walmart com,Facebook posts," August 30, 2021",pants-fire
6094,6094,By Gabrielle Settles ,the biden white house had representative who came honor the return the service member remains dover air force base,Instagram posts," August 30, 2021",pants-fire
6095,6095,By Tom Kertscher ,the contagiousness the coronavirus delta variant valued between and and the value closer within six week the whole country will test positive for delta regardless vaccination,TikTok posts," August 30, 2021",barely-true
6096,6096,By Ciara O'Rourke ,say president joe biden fell asleep during meeting with israel prime minister,Viral image," August 30, 2021",false
6097,6097,By Gabrielle Settles ,thalidomide wa fda approved for pregnant woman the,Facebook posts," August 30, 2021",false
6098,6098,By Chris Nichols ,california voter able download ballot home for recall election sparking security concern,Larry Elder," August 27, 2021",barely-true
6099,6099,By Bill McCarthy ,norfolk naval base ha been taken nato,TikTok posts," August 27, 2021",false
6100,6100,By Andy Nguyen ,white house cdc who and vaccine maker don require the covid vaccine for their worker,Facebook posts," August 27, 2021",barely-true
6101,6101,By Ciara O'Rourke ,video show pupil nigeria running away from being vaccinated,Facebook posts," August 27, 2021",false
6102,6102,By Tom Kertscher ,say air force insignia plane evacuating people from afghanistan fake,Facebook posts," August 27, 2021",false
6103,6103,By Emily Tian ,would cost billion end homelessness the and halting global warming would cost billion,Facebook posts," August 27, 2021",barely-true
6104,6104,By Ciara O'Rourke ,one ha died cancer heart disease since the covid thing started,Viral image," August 27, 2021",pants-fire
6105,6105,By Jason Asenso ,fda approval mean nothing when you realize the fda also approves pesticide our food,Facebook posts," August 27, 2021",barely-true
6106,6106,By Brandon Mulder ,democrat like blame republican low vaccination rate well the biggest group most state are african american who have not been vaccinated the last time checked over them vote for democrat,Dan Patrick," August 26, 2021",false
6107,6107,By Miriam Valverde ,there ha been question our credibility from our ally around the world regarding how the withdrawing from afghanistan,Joe Biden," August 26, 2021",half-true
6108,6108,By Emily Tian ,washington public school force unvaccinated teen wear ankle monitor condition playing team sport,Facebook posts," August 25, 2021",half-true
6109,6109,By Samantha Putterman ,doctor south florida walked out protest their hospital wa flooded with unvaccinated covid patient,Instagram posts," August 25, 2021",false
6110,6110,By Gabrielle Settles ,the vaccinated not the unvaccinated spreading mutant variant,Facebook posts," August 25, 2021",false
6111,6111,By Warren Fiske ,ending virginia income tax,Glenn Youngkin," August 25, 2021",half-flip
6112,6112,By Tom Kertscher ,woman who have been jabbed have lost their child the first trimester,Facebook posts," August 24, 2021",false
6113,6113,By Ciara O'Rourke ,pfizer ceo ha not yet had vaccine,Instagram posts," August 24, 2021",false
6114,6114,By Ciara O'Rourke ,say donald trump said not distracted all this going afghanistan always keep one eye washington magician always distracts his audience,Viral image," August 24, 2021",false
6115,6115,By Louis Jacobson ,former president donald trump wa blocked from getting troop out afghanistan liz cheney and others,Warren Davidson," August 24, 2021",barely-true
6116,6116,By Bill McCarthy ,the bomb threat near the capitol aug wa false flag,X posts," August 24, 2021",pants-fire
6117,6117,By Amy Sherman ,qaida gone from afghanistan,Joe Biden," August 23, 2021",false
6118,6118,By Jason Asenso ,twitter ha suspended the account afghanistan elected president and have allowed the taliban keep their account,Instagram posts," August 23, 2021",half-true
6119,6119,By Tom Kertscher ,say troop were killed afghanistan yesterday,Facebook posts," August 23, 2021",barely-true
6120,6120,By Louis Jacobson ,the now importing barrel oil from russia but that could have been prevented the keystone pipeline hadn been cancelled,Facebook posts," August 23, 2021",half-true
6121,6121,By Madeline Heim ,milwaukee election employee even acknowledged dropping off just the margin ballot needed for biden win,Donald Trump," August 23, 2021",pants-fire
6122,6122,By Gabrielle Settles ,say report unvaccinated florida teacher dying from covid isn real,Instagram posts," August 20, 2021",false
6123,6123,By Paul Specht ,north carolina during this pandemic had among the lowest covid related death well job loss per caput,Roy Cooper," August 20, 2021",mostly-true
6124,6124,By Miriam Valverde ,covid vaccination are violation the nuremberg code,Facebook posts," August 20, 2021",false
6125,6125,By Gabrielle Settles ,the cdc actually put together document discus putting high risk people into camp shield low risk people from them,Candace Owens," August 20, 2021",false
6126,6126,By Amy Sherman ,photo show two covid patient lying the floor awaiting treatment florida,Viral image," August 20, 2021",true
6127,6127,By Tom Kertscher ,joe biden two week vacation kamala harris ha been nonexistent since inauguration day jen psaki taking break from her duty press secretary for one week,Instagram posts," August 20, 2021",barely-true
6128,6128,By Tom Kertscher ,the biden administration gifted the taliban with billion plus military grade weapon but now want your pistol,Viral image," August 20, 2021",false
6129,6129,By Tom Kertscher ,joe biden and kamala harris continuously questioned the vaccine during the campaign but now they support vaccine card and forced vaccination,Instagram posts," August 20, 2021",barely-true
6130,6130,By Amy Sherman ,whether withdrawal from afghanistan would chaotic,Joe Biden," August 20, 2021",full-flop
6131,6131,By D.L. Davis ,got mile road this state and owned the local,Craig Thompson," August 20, 2021",true
6132,6132,By Ciara O'Rourke ,say jazeera tweeted breakingnews taliban started abducting minor girl from their home the parent who are refusing give their daughter taliban are being killed taliban fighter,Viral image," August 19, 2021",false
6133,6133,By Jon Greenberg ,had already issued several thousand special immigrant visa the afghan translator when came into office,Joe Biden," August 19, 2021",half-true
6134,6134,By Jason Asenso ,christian missionary were sentenced death afghanistan,Facebook posts," August 19, 2021",false
6135,6135,By Tom Kertscher ,the second largest investor regeneron firm whose ceo ron desantis number one political donor,Democratic Underground," August 19, 2021",barely-true
6136,6136,By Andy Nguyen ,sailor sea all vaxxed all with covid seven week following deployment,Facebook posts," August 19, 2021",mostly-true
6137,6137,By Bill McCarthy ,joe biden intentionally let fall apart afghanistan because want couple hundred thousand more ilhan omars come into america change the body politic permanently,Charlie Kirk," August 19, 2021",pants-fire
6138,6138,By Ciara O'Rourke ,video show afghan riding plane engine,Viral image," August 19, 2021",false
6139,6139,By Ciara O'Rourke ,the chaos the kabul airport the taliban took over afghanistan capital wa false flag event provoke,Instagram posts," August 19, 2021",pants-fire
6140,6140,By Tom Kertscher ,fauci doesn trust new vaccine research delta variant surge,Fox News Channel," August 18, 2021",false
6141,6141,By Jason Asenso ,image show harvard email terminating student over social medium account,Viral image," August 18, 2021",pants-fire
6142,6142,By Ciara O'Rourke ,inmate pregnant after being forced share prison with transgender woman,Viral image," August 18, 2021",false
6143,6143,By Ciara O'Rourke ,say malala yousafzai silent about the cry woman and child suffering the hand the taliban,Viral image," August 18, 2021",false
6144,6144,By Ciara O'Rourke ,biden teleprompter told him leave now when his speech wa concluded,Viral image," August 18, 2021",false
6145,6145,By Clara Hendrickson ,don need the covid vaccine have natural immunity that last forever,Mike Shirkey," August 18, 2021",false
6146,6146,By Ciara O'Rourke ,say military time reported that study found sailor who had been fully vaccinated with shot series vaccine are now risk for heart disease,Viral image," August 18, 2021",false
6147,6147,By Louis Jacobson ,the man next mike pompeo november photo the guy the trump administration helped get out jail and who now the president afghanistan,Instagram posts," August 18, 2021",mostly-true
6148,6148,By Warren Fiske ,watched terry mcauliffe when wa governor lower the accreditation standard our school,Glenn Youngkin," August 18, 2021",mostly-true
6149,6149,By Jason Asenso ,solar panel farm cause hundred and thousand bird hit that magnified sun explode flame this going bring the nation down,Louie Gohmert," August 17, 2021",half-true
6150,6150,By Tom Kertscher ,donald trump said trusted the taliban and then set motion even earlier exit from afghanistan,Occupy Democrats," August 17, 2021",half-true
6151,6151,By Tom Kertscher ,mayo clinic study show pfizer vaccine dropped effective,Instagram posts," August 17, 2021",half-true
6152,6152,By Ciara O'Rourke ,say cnn said taliban fighter responsibly wearing mask,Viral image," August 17, 2021",false
6153,6153,By Ciara O'Rourke ,say cnn and other news organization tweeted that journalist wa executed kabul taliban fighter,Viral image," August 17, 2021",false
6154,6154,By Andy Nguyen ,six month study from pfizer show that it vaccine reduces severe covid symptom hospitalization,Instagram posts," August 17, 2021",barely-true
6155,6155,By Ciara O'Rourke ,say nancy pelosi ha been executed,Viral image," August 16, 2021",pants-fire
6156,6156,By Ciara O'Rourke ,photo show cnn chyron about afghanistan that say violent but mostly peaceful transfer power,Viral image," August 16, 2021",false
6157,6157,By Warren Fiske ,the general assembly gave gov ralph northam billion blank check,David Suetterlein," August 16, 2021",barely-true
6158,6158,By Laura Schulte ,say madison cost the university your tax dollar remove rock considered some symbol racism,Rachel Campos-Duffy," August 14, 2021",pants-fire
6159,6159,By Ciara O'Rourke ,rand paul medical license wa just revoked,Facebook posts," August 13, 2021",pants-fire
6160,6160,By Cassidey Kavathas ,every time outgoing new york gov andrew cuomo say the firearm industry immune from lawsuit false,Elise Stefanik," August 13, 2021",mostly-true
6161,6161,By Paul Specht ,the united state southern border basically open and super spreader event,Gary Sides," August 13, 2021",false
6162,6162,By Gabrielle Settles ,there chance dying from covid,TikTok posts," August 13, 2021",false
6163,6163,By Brandon Mulder ,the biden administration not even testing these people being released border patrol into the,Ken Paxton," August 13, 2021",barely-true
6164,6164,By Madeline Heim ,pregnant people experience domestic violence during their pregnancy,Gwen Moore," August 13, 2021",true
6165,6165,By Jason Asenso ,say actor mike mitchell died because covid booster shot,Instagram posts," August 12, 2021",false
6166,6166,By Tom Kertscher ,the federal infrastructure bill includes pilot program for national motor vehicle per mile user fee which basically long term plan make too expensive drive car,Viral image," August 12, 2021",barely-true
6167,6167,By Gabrielle Settles ,flight across america are backed because airline crew are refusing the mandated jab and walking off boarded flight,Facebook posts," August 12, 2021",false
